TopologicalNode rdfid,Substation name,Substation rdfid,Active injection (MW),Reactive injection (Mvar),Voltage (kV),Phase (degrees)
_1336607078_VL_TN1,1336607,_1336607078_VL,-0.4,-0.1,90,-20
_1336616070_VL_TN1,1336616,_1336616070_VL,-8.8,-3.2,61.8,-29.7
_1337205103_VL_TN2,1337205,_1337205103_VL,0.3,0.2,63.9,-24.6
_1337205103_VL_TN1,1337205,_1337205103_VL,-4.4,-0.9,63.8,-24.7
_1337412714_VL_TN1,1337412,_1337412714_VL,-1.9,1.1,63.9,-9
_1337524726_VL_TN1,1337524,_1337524726_VL,-35.8,-11.7,63.6,-5
_1337705017_VL_TN1,1337705,_1337705017_VL,-16.3,-1.2,62.2,-10.3
_1337928790_VL_TN1,1337928,_1337928790_VL,0,0,407.2,-9.7
_1338141602_VL_TN1,1338141,_1338141602_VL,-14.3,-8.8,64.3,-1.5
_1338225036_VL_TN1,1338225,_1338225036_VL,-23.1,-2.2,231.3,-7.8
_1338240471_VL_TN1,1338240,_1338240471_VL,-1.3,2.5,64.8,-10.8
_1339250933_VL_TN6,1339250,_1339250933_VL,864.6,-112.7,404.1,0.4
_1339250933_VL_TN5,1339250,_1339250933_VL,888.7,-119.9,404.1,0.4
_1339250933_VL_TN4,1339250,_1339250933_VL,2.9,-1.2,404.5,-0.3
_1339250933_VL_TN3,1339250,_1339250933_VL,888.7,-147.9,403.9,0.4
_1339250933_VL_TN2,1339250,_1339250933_VL,2.9,-1.3,404.5,-0.3
_1339250933_VL_TN1,1339250,_1339250933_VL,912.7,-135.3,404,0.5
_1340853215_VL_TN1,1340853,_1340853215_VL,0,0,63.8,-12.7
_1341658710_VL_TN1,1341658,_1341658710_VL,-7.4,-2.1,89.5,-17.6
_1341871533_VL_TN1,1341871,_1341871533_VL,-18.3,-8.6,63.9,-4.3
_1342160386_VL_TN1,1342160,_1342160386_VL,0,0,64.7,-9.2
_1342426528_VL_TN1,1342426,_1342426528_VL,-15.4,-2.4,238.5,-4.9
_1342591962_VL_TN2,1342591,_1342591962_VL,0,0,93.7,-9
_1342934678_VL_TN1,1342934,_1342934678_VL,-15.8,-6.4,62.1,-7.4
_1343069418_VL_TN1,1343069,_1343069418_VL,-8.1,1,64.5,-21.3
_1343093382_VL_TN2,1343093,_1343093382_VL,0,0,95.5,-7.7
_1343243013_VL_TN1,1343243,_1343243013_VL,-14.1,-3.1,91.4,-15.6
_1343349508_VL_TN1,1343349,_1343349508_VL,-9.9,-6,62.6,-13.4
_1343688867_VL_TN1,1343688,_1343688867_VL,0,0,403.1,-3.3
_1344155139_VL_TN1,1344155,_1344155139_VL,0,0,235.6,-5.5
_1344186757_VL_TN1,1344186,_1344186757_VL,0,0,92.9,-15.4
_1344774844_VL_TN1,1344774,_1344774844_VL,0,0,235.8,-19.8
_1345933583_VL_TN2,1345933,_1345933583_VL,-1.3,-2,237.8,-2.3
_1345933583_VL_TN1,1345933,_1345933583_VL,-1.3,-2,237.8,-2.3
_1346119737_VL_TN1,1346119,_1346119737_VL,0,0,63.1,-3.3
_1346330287_VL_TN1,1346330,_1346330287_VL,0,0,407.9,-6
_1347324189_VL_TN2,1347324,_1347324189_VL,1.4,2.3,63.9,-7
_1347324189_VL_TN1,1347324,_1347324189_VL,0,0,62.7,-8.7
_1347471540_VL_TN1,1347471,_1347471540_VL,0,0,405.4,-10.2
_1347582018_VL_TN1,1347582,_1347582018_VL,-3.3,-0.4,63.6,-9.3
_1348176947_VL_TN2,1348176,_1348176947_VL,0,0,226.5,-3.5
_1348674697_VL_TN1,1348674,_1348674697_VL,0,0,238.1,-27.1
_1348706325_VL_TN1,1348706,_1348706325_VL,-12.3,1,64.3,-18.8
_1349683131_VL_TN1,1349683,_1349683131_VL,6.1,-1.2,43.2,-0.4
_1349955583_VL_TN1,1349955,_1349955583_VL,-12,-1.7,90.7,-24.5
_1350307367_VL_TN1,1350307,_1350307367_VL,-10,-4.2,91.8,-22.1
_1350406610_VL_TN1,1350406,_1350406610_VL,-27.6,-13.6,90.3,-16
_1350944486_VL_TN1,1350944,_1350944486_VL,0,0,152.3,-6.1
_1351506536_VL_TN1,1351506,_1351506536_VL,-19.4,-6,60.8,-25.6
_13523880_VL_TN1,1352388,_13523880_VL,0,0,393,-2.9
_1352723935_VL_TN1,1352723,_1352723935_VL,0,0,405,-14.1
_1353436497_VL_TN1,1353436,_1353436497_VL,-45.7,-24.8,63.2,-6.2
_1353743978_VL_TN1,1353743,_1353743978_VL,-2,0.8,65.8,-4.8
_1354109880_VL_TN1,1354109,_1354109880_VL,-36.1,-10.3,64.2,-18.8
_1354426581_VL_TN1,1354426,_1354426581_VL,-1,1,64.7,-6.7
_1354454592_VL_TN1,1354454,_1354454592_VL,-2,-0.1,94.6,-8.8
_1355347052_VL_TN1,1355347,_1355347052_VL,-11,-5.1,63.9,-13.8
_1355965257_VL_TN1,1355965,_1355965257_VL,-6.3,-7.7,64.5,0.6
_1356528025_VL_TN1,1356528,_1356528025_VL,-1.9,0.1,62.1,-21.3
_1356992834_VL_TN1,1356992,_1356992834_VL,-4,-1.9,63.8,-6.2
_1356996446_VL_TN1,1356996,_1356996446_VL,-17.6,-2.5,63.1,-10
_135703889_VL_TN1,1357038,_135703889_VL,0,0,65.2,-20.6
_1357156283_VL_TN2,1357156,_1357156283_VL,0,0,241.8,-13.2
_1357156283_VL_TN1,1357156,_1357156283_VL,-32.4,-6.5,239.5,-10.5
_1357606053_VL_TN1,1357606,_1357606053_VL,-17.3,-3.6,240.7,-6
_1357771733_VL_TN1,1357771,_1357771733_VL,0,0,93.6,-14.9
_1358025823_VL_TN1,1358025,_1358025823_VL,-7.4,-0.5,63,-0.5
_1358091209_VL_TN1,1358091,_1358091209_VL,0,0,62.2,-14.7
_1358327544_VL_TN1,1358327,_1358327544_VL,0,0,64.1,-7.4
_1358639506_VL_TN1,1358639,_1358639506_VL,0,0,65.2,-4.2
_1359633279_VL_TN1,1359633,_1359633279_VL,-1.3,1.1,237.4,-3.6
_1359742914_VL_TN1,1359742,_1359742914_VL,-13.6,1.8,92.8,-19.1
_1359774603_VL_TN1,1359774,_1359774603_VL,0,0,64.4,-19
_1359936179_VL_TN1,1359936,_1359936179_VL,-32.4,-4.3,64.2,-21.8
_1361083580_VL_TN1,1361083,_1361083580_VL,-30.1,-12.6,64.3,-31.9
_1361283498_VL_TN1,1361283,_1361283498_VL,-14.5,-0.2,63.9,-18
_1361648634_VL_TN1,1361648,_1361648634_VL,-15.5,-7.4,61.7,-31.5
_1362019856_VL_TN1,1362019,_1362019856_VL,-35.6,-6.3,234.9,-8.7
_1362096768_VL_TN1,1362096,_1362096768_VL,-12.9,-0.6,64.1,-29.5
_1362131464_VL_TN1,1362131,_1362131464_VL,-4.8,-1.4,63.2,-12.3
_1362146082_VL_TN1,1362146,_1362146082_VL,0,0,93.1,-18.7
_1362198813_VL_TN1,1362198,_1362198813_VL,-19.6,21.6,64.4,-21.3
_1362221690_VL_TN1,1362221,_1362221690_VL,23.3,0.2,21.1,-10.6
_1362427950_VL_TN1,1362427,_1362427950_VL,-40,-17.3,64.4,-8.2
_1363426124_VL_TN1,1363426,_1363426124_VL,-15.1,-2.8,64.9,-12.4
_136349904_VL_TN1,1363499,_136349904_VL,0,0,408,-3.3
_1363857705_VL_TN1,1363857,_1363857705_VL,-18.9,-7.9,63.9,-6.9
_136427968_VL_TN1,1364279,_136427968_VL,-15.6,-0.4,94.4,-11.4
_1364721323_VL_TN1,1364721,_1364721323_VL,0.7,3,93.6,-9.5
_1364885548_VL_TN1,1364885,_1364885548_VL,0,0,234.7,-6.7
_1365048110_VL_TN2,1365048,_1365048110_VL,-32.2,-5.6,63.6,-23.9
_1365131484_VL_TN1,1365131,_1365131484_VL,0,0,63.6,-32
_1365965651_VL_TN2,1365965,_1365965651_VL,0,0,94,-24
_136668258_VL_TN1,1366682,_136668258_VL,0,0,63.8,-0.2
_1367056665_VL_TN1,1367056,_1367056665_VL,0,0,236.7,-14.8
_1367407203_VL_TN1,1367407,_1367407203_VL,-6,-0.5,64.7,-21
_1367417012_VL_TN1,1367417,_1367417012_VL,-5,0,62,-13
_1367566027_VL_TN1,1367566,_1367566027_VL,0,0,237.1,-11.3
_1367772784_VL_TN1,1367772,_1367772784_VL,-30,-11.9,63.9,-6.4
_1367816877_VL_TN1,1367816,_1367816877_VL,-6,-3.3,89.9,-24.2
_1367819798_VL_TN1,1367819,_1367819798_VL,10,0,65.8,-19.7
_1368813799_VL_TN1,1368813,_1368813799_VL,0,0,237.8,-11.5
_1368824287_VL_TN1,1368824,_1368824287_VL,0,0,240.2,-5.3
_1369109398_VL_TN1,1369109,_1369109398_VL,0,0,64.6,-0.2
_1369736740_VL_TN1,1369736,_1369736740_VL,0,0,64,-23.2
_1369867772_VL_TN1,1369867,_1369867772_VL,0,0,93.8,-7
_1370111014_VL_TN1,1370111,_1370111014_VL,0,0,63.9,-12.1
_1370331296_VL_TN1,1370331,_1370331296_VL,3,1,65.9,-12.8
_1370446234_VL_TN1,1370446,_1370446234_VL,-13.3,-3.6,62.2,-12.9
_1370763757_VL_TN1,1370763,_1370763757_VL,-13.9,0.3,63,-2.7
_1371296904_VL_TN1,1371296,_1371296904_VL,0,0,237.1,-11.4
_1372069200_VL_TN1,1372069,_1372069200_VL,-3.3,1.4,64.7,-15.7
_1372464805_VL_TN1,1372464,_1372464805_VL,-0.5,0.4,63.7,-0.8
_137272643_VL_TN1,1372726,_137272643_VL,0,0,235.2,-16.2
_1372938133_VL_TN2,1372938,_1372938133_VL,-19.2,-3.2,240.3,-11
_1372938133_VL_TN1,1372938,_1372938133_VL,-19.7,-5.2,241.8,-13.2
_1373119315_VL_TN1,1373119,_1373119315_VL,-0.9,0.6,64.5,-19.5
_1373368787_VL_TN1,1373368,_1373368787_VL,-11.1,-5.1,90.1,-19.7
_1373699063_VL_TN2,1373699,_1373699063_VL,-28.9,-10.5,241.7,-13.3
_1373699063_VL_TN1,1373699,_1373699063_VL,-14.2,-6.2,240.3,-11
_1373895271_VL_TN1,1373895,_1373895271_VL,0,0,64.7,-5.7
_1374009448_VL_TN2,1374009,_1374009448_VL,844.8,-156.8,407.6,-2.1
_1374009448_VL_TN1,1374009,_1374009448_VL,-6.4,-1.9,408.4,-2.6
_137413440_VL_TN1,1374134,_137413440_VL,0,0,151.2,-17.4
_1374801723_VL_TN1,1374801,_1374801723_VL,0,-0.8,62.9,-9.4
_1375054993_VL_TN1,1375054,_1375054993_VL,0,0,63.1,-10.3
_137529694_VL_TN4,1375296,_137529694_VL,-0.7,-0.1,62.4,-14.5
_137529694_VL_TN3,1375296,_137529694_VL,-0.7,-0.2,62.4,-14.5
_137529694_VL_TN2,1375296,_137529694_VL,-0.7,-0.1,62.4,-14.5
_137529694_VL_TN1,1375296,_137529694_VL,-3.7,-0.1,62.4,-14.5
_1375432070_VL_TN2,1375432,_1375432070_VL,0,0,65.9,-19
_1375432070_VL_TN1,1375432,_1375432070_VL,-4,-2.7,65.8,-17
_1375968204_VL_TN1,1375968,_1375968204_VL,-3.8,5.6,64.4,-18.7
_1376291510_VL_TN1,1376291,_1376291510_VL,-9.9,-4,94.2,-9.5
_1376533621_VL_TN2,1376533,_1376533621_VL,-34.4,-7.9,240.6,-9.2
_1376533621_VL_TN1,1376533,_1376533621_VL,-50.5,-14.5,240.7,-9.8
_1376828253_VL_TN1,1376828,_1376828253_VL,0,0,63.3,-2.4
_1376926691_VL_TN1,1376926,_1376926691_VL,0,0,241.6,-12.8
_1377364429_VL_TN1,1377364,_1377364429_VL,0,0,62.8,-13
_1377735331_VL_TN1,1377735,_1377735331_VL,-265.7,-2,406.4,-14.4
_1377778754_VL_TN1,1377778,_1377778754_VL,-16,-4,63.6,-1.7
_1378113044_VL_TN1,1378113,_1378113044_VL,-27.3,-9.2,237.5,-20.7
_1378169365_VL_TN1,1378169,_1378169365_VL,-7.9,-3.8,88.9,-19.3
_1378821177_VL_TN1,1378821,_1378821177_VL,0,0,95.3,-29.9
_1378896583_VL_TN1,1378896,_1378896583_VL,1.1,2.7,41.9,-0.5
_1379185060_VL_TN3,1379185,_1379185060_VL,0,0,94.8,-10.7
_1379185060_VL_TN2,1379185,_1379185060_VL,0,0,94.9,-10.7
_1379185060_VL_TN1,1379185,_1379185060_VL,0,0,94.8,-10.7
_1379411854_VL_TN1,1379411,_1379411854_VL,-5.2,-0.3,93.2,-9.6
_1379463904_VL_TN1,1379463,_1379463904_VL,-17,-4.1,62.8,-22.4
_1379654014_VL_TN1,1379654,_1379654014_VL,0,0,240.2,-11
_1380081194_VL_TN1,1380081,_1380081194_VL,7,1.5,64.9,-4.4
_1380207916_VL_TN2,1380207,_1380207916_VL,-50,9,240,-9
_1380207916_VL_TN1,1380207,_1380207916_VL,-20,2,240.1,-8.8
_1381023498_VL_TN1,1381023,_1381023498_VL,0,0,89.3,-21.7
_1381726496_VL_TN1,1381726,_1381726496_VL,-8,0.7,62.8,-3.8
_1381889836_VL_TN1,1381889,_1381889836_VL,-48.3,-11.9,21.2,-20
_1382245716_VL_TN1,1382245,_1382245716_VL,0,0,237,-2.8
_1382478966_VL_TN1,1382478,_1382478966_VL,-7.9,-4.7,63.4,0.4
_1382653185_VL_TN1,1382653,_1382653185_VL,-26.2,-11.3,62.3,-20.7
_1382781382_VL_TN1,1382781,_1382781382_VL,-0.1,0,64.6,-0.2
_1384166027_VL_TN1,1384166,_1384166027_VL,-38.6,-11.5,90.6,-22.9
_1384580754_VL_TN1,1384580,_1384580754_VL,-42.5,0.6,238.4,-11.5
_1384988272_VL_TN2,1384988,_1384988272_VL,0,0,64.9,-14.5
_1385201269_VL_TN1,1385201,_1385201269_VL,0,0,403.5,-12.6
_1385775646_VL_TN1,1385775,_1385775646_VL,0,0,65.9,-18.7
_1386154061_VL_TN1,1386154,_1386154061_VL,-22.8,-9,91.4,-11.6
_1387130219_VL_TN2,1387130,_1387130219_VL,-15.9,-7.5,64,-24.5
_1387130219_VL_TN1,1387130,_1387130219_VL,-14.2,4.9,65.3,-24.5
_1387472772_VL_TN1,1387472,_1387472772_VL,0,0,403.7,-12.1
_138822336_VL_TN1,1388223,_138822336_VL,-6.4,-0.2,91.6,-18.1
_1388329720_VL_TN2,1388329,_1388329720_VL,-11,-5.6,63.8,-24
_1388329720_VL_TN1,1388329,_1388329720_VL,-12,-5.6,63.8,-24.1
_1388594625_VL_TN3,1388594,_1388594625_VL,0,0,20.2,-17.4
_1388594625_VL_TN2,1388594,_1388594625_VL,-5,-1.5,20.9,-17.4
_1388594625_VL_TN1,1388594,_1388594625_VL,2.3,0.4,20.6,-16.7
_1388875461_VL_TN1,1388875,_1388875461_VL,0,0,64.8,-9.9
_1388977173_VL_TN1,1388977,_1388977173_VL,-9.6,-3.6,63.9,-22.4
_1389296857_VL_TN1,1389296,_1389296857_VL,0,0,65.3,-17.1
_1390027007_VL_TN1,1390027,_1390027007_VL,-0.9,0.8,64.7,-14.2
_1390797441_VL_TN1,1390797,_1390797441_VL,-17.6,-6,93.2,-16.3
_1391493558_VL_TN1,1391493,_1391493558_VL,1.2,-1.4,64.3,-23.2
_1391557848_VL_TN1,1391557,_1391557848_VL,0,0,240.5,-10.7
_1391678946_VL_TN1,1391678,_1391678946_VL,0,0,91.3,-19
_139168071_VL_TN3,1391680,_139168071_VL,-16.3,-2.9,21,-20.8
_139168071_VL_TN2,1391680,_139168071_VL,-16.3,-3.9,21,-20.8
_139168071_VL_TN1,1391680,_139168071_VL,-22.3,-4.9,21,-20.8
_1391901234_VL_TN1,1391901,_1391901234_VL,-16.8,-0.7,238.3,-6.2
_1391926025_VL_TN1,1391926,_1391926025_VL,-23,-8.5,61.1,-13.7
_1392013425_VL_TN2,1392013,_1392013425_VL,0,0,63,-11.5
_139222118_VL_TN1,1392221,_139222118_VL,-6.2,-3.2,64.6,-5.7
_1392272477_VL_TN3,1392272,_1392272477_VL,-14.7,2,63.3,-11.8
_1392272477_VL_TN2,1392272,_1392272477_VL,0,0,63.4,-11.3
_1392272477_VL_TN1,1392272,_1392272477_VL,-17.7,-3.7,63.1,-11.8
_139277842_VL_TN1,1392778,_139277842_VL,-39,-11.4,237.3,-20.7
_139348634_VL_TN3,1393486,_139348634_VL,-59.1,-12.2,64.1,-21.1
_139348634_VL_TN1,1393486,_139348634_VL,0,0,63.7,-21.6
_1393521103_VL_TN1,1393521,_1393521103_VL,0,0,240.4,-11.4
_1393832903_VL_TN1,1393832,_1393832903_VL,-9.1,1.5,64.8,-6.8
_1393934117_VL_TN1,1393934,_1393934117_VL,0,0,232,-14.4
_1394054925_VL_TN1,1394054,_1394054925_VL,-10.3,-0.1,64.8,-25.4
_1394695372_VL_TN2,1394695,_1394695372_VL,0,0,235.2,-15
_1395466173_VL_TN1,1395466,_1395466173_VL,0,0,44,-2.4
_1395599693_VL_TN1,1395599,_1395599693_VL,-12.6,-3.8,64.6,-6.3
_1396493340_VL_TN2,1396493,_1396493340_VL,-3,1.8,63.1,-33.5
_1396493340_VL_TN1,1396493,_1396493340_VL,-5,1.9,63,-33.7
_1396669182_VL_TN1,1396669,_1396669182_VL,0,0,64.3,-1.6
_1396905849_VL_TN1,1396905,_1396905849_VL,-11.7,-1,64.3,-19.3
_1397023453_VL_TN1,1397023,_1397023453_VL,-25,-1.4,237.3,-11.3
_1397119372_VL_TN1,1397119,_1397119372_VL,-8.2,-0.7,64.5,-6.3
_1397120357_VL_TN1,1397120,_1397120357_VL,0,0,156,-16.7
_1397198271_VL_TN3,1397198,_1397198271_VL,50.5,-15.4,19.9,-0.5
_1397198271_VL_TN1,1397198,_1397198271_VL,49.2,-1.2,20.2,-0.5
_1397248919_VL_TN1,1397248,_1397248919_VL,0,0,156.1,-16.9
_1397725733_VL_TN2,1397725,_1397725733_VL,0,0,95.8,-7.3
_1397725733_VL_TN1,1397725,_1397725733_VL,-41,-32.7,95.6,-7.4
_1397791565_VL_TN1,1397791,_1397791565_VL,0,0,62.9,-9.4
_1398181571_VL_TN1,1398181,_1398181571_VL,-6.4,6.4,65.8,-12
_1398511426_VL_TN1,1398511,_1398511426_VL,0,0,70,3
_1398980261_VL_TN2,1398980,_1398980261_VL,1.6,-2.5,64.9,-3.9
_1398980261_VL_TN1,1398980,_1398980261_VL,-17.6,24.8,64.7,-4.1
_139924367_VL_TN1,1399243,_139924367_VL,-14.3,-3.9,62.9,-2.7
_1399415786_VL_TN1,1399415,_1399415786_VL,0,0,64.7,-30.3
_1399486295_VL_TN2,1399486,_1399486295_VL,0,0,93.9,-12.6
_1399486295_VL_TN1,1399486,_1399486295_VL,-0.2,-0.3,93.9,-12.6
_1400662533_VL_TN1,1400662,_1400662533_VL,-26.5,-4,91.8,-15.3
_1400758470_VL_TN1,1400758,_1400758470_VL,0,0,235.7,-15.4
_1401566104_VL_TN2,1401566,_1401566104_VL,-7,3.3,63.7,0.1
_1401691705_VL_TN2,1401691,_1401691705_VL,-10.7,1.4,97.3,-6.3
_140207295_VL_TN2,1402072,_140207295_VL,0,0,90.1,-21.4
_1402374346_VL_TN1,1402374,_1402374346_VL,-3.3,-0.2,62.2,-12.1
_1402374346_VL_TN2,1402374,_1402374346_VL,0,0,63,-11.5
_1402493500_VL_TN1,1402493,_1402493500_VL,-5.1,-2.6,63.4,-7.8
_1402858321_VL_TN4,1402858,_1402858321_VL,0,0,406.3,2.3
_1402982044_VL_TN1,1402982,_1402982044_VL,0,0,63.1,-11.8
_1403233096_VL_TN1,1403233,_1403233096_VL,0,0,65.2,-19
_1403368564_VL_TN1,1403368,_1403368564_VL,-1.6,-0.4,93.4,-17.2
_1403598486_VL_TN1,1403598,_1403598486_VL,-2,-0.3,65.2,-24.6
_1404319475_VL_TN2,1404319,_1404319475_VL,-0.1,3.1,63.7,-11.5
_1404319475_VL_TN1,1404319,_1404319475_VL,0,0,63.6,-11.6
_1404448007_VL_TN1,1404448,_1404448007_VL,0,0,406.5,0.5
_1404946012_VL_TN3,1404946,_1404946012_VL,19.3,4.7,233.7,-25
_1404946012_VL_TN2,1404946,_1404946012_VL,17.3,0.8,233.7,-25
_1404946012_VL_TN1,1404946,_1404946012_VL,17.3,-3.7,233.7,-25
_140505326_VL_TN1,1405053,_140505326_VL,0,0,94.1,-10
_1405337656_VL_TN1,1405337,_1405337656_VL,0,0,64.5,-7.9
_1405484812_VL_TN1,1405484,_1405484812_VL,-0.8,1.6,63.8,-1.5
_1405595991_VL_TN1,1405595,_1405595991_VL,-0.3,0,62.4,-14.5
_1406139942_VL_TN2,1406139,_1406139942_VL,0,0,65.7,-4.1
_1406139942_VL_TN1,1406139,_1406139942_VL,0,0,64.6,-5.2
_1406146035_VL_TN1,1406146,_1406146035_VL,-10.6,1.8,64.2,-13.8
_1406333785_VL_TN1,1406333,_1406333785_VL,-56,-20.6,240.3,-10.9
_1406363770_VL_TN1,1406363,_1406363770_VL,-7,1.9,63,-15.5
_1407431387_VL_TN2,1407431,_1407431387_VL,0,0,236.4,-9.8
_1407519103_VL_TN1,1407519,_1407519103_VL,0,0,93.7,-18.5
_1407533900_VL_TN1,1407533,_1407533900_VL,0,0,237.3,-7.4
_1408423853_VL_TN1,1408423,_1408423853_VL,0,0,43.5,-0.9
_1409008426_VL_TN1,1409008,_1409008426_VL,0,0,64.6,-16.1
_1409403030_VL_TN1,1409403,_1409403030_VL,0,0,64.5,-26.8
_1410386831_VL_TN1,1410386,_1410386831_VL,-6.1,-0.3,62.7,-22.6
_1412366286_VL_TN1,1412366,_1412366286_VL,-14.7,-3.4,92.3,-22.6
_1412997013_VL_TN2,1412997,_1412997013_VL,-9.7,-2.7,64.6,-4.6
_1412997013_VL_TN1,1412997,_1412997013_VL,-12.6,-4.7,64.6,-4.6
_1413055364_VL_TN1,1413055,_1413055364_VL,-15.1,-5.4,64.8,-10
_1413673741_VL_TN1,1413673,_1413673741_VL,-4.1,2.1,63.8,-0.7
_1414584621_VL_TN1,1414584,_1414584621_VL,0,0,95.5,-8.4
_1415375032_VL_TN1,1415375,_1415375032_VL,-19.3,-3.3,93.5,-10.3
_1415717002_VL_TN1,1415717,_1415717002_VL,0,0,405.4,-2.5
_1416357255_VL_TN2,1416357,_1416357255_VL,-23.6,-2.6,62.5,-24.7
_141664621_VL_TN1,1416646,_141664621_VL,0,0,64,-4.3
_1416716210_VL_TN1,1416716,_1416716210_VL,-19.9,-2,64.9,-19.9
_1416741995_VL_TN2,1416741,_1416741995_VL,-22.3,-1.3,62.2,-15.7
_1416829799_VL_TN1,1416829,_1416829799_VL,-8.4,-9,92.9,-15.4
_1416926388_VL_TN1,1416926,_1416926388_VL,0,0,91.9,-15
_1417520460_VL_TN1,1417520,_1417520460_VL,0,0,62.9,-9.4
_1417657278_VL_TN1,1417657,_1417657278_VL,-16.8,-5.9,95.1,-23.5
_1417881302_VL_TN1,1417881,_1417881302_VL,12,5,94,-14.3
_1417918372_VL_TN1,1417918,_1417918372_VL,-30.8,-14,64.9,-21.7
_1417946126_VL_TN1,1417946,_1417946126_VL,0,0,65.4,-17.7
_1418477680_VL_TN2,1418477,_1418477680_VL,0,0,237.2,-6.3
_1418638903_VL_TN1,1418638,_1418638903_VL,-23.8,-5.8,93.5,-14.2
_1418801726_VL_TN1,1418801,_1418801726_VL,193.9,47.1,408.4,-0.8
_1418938022_VL_TN1,1418938,_1418938022_VL,0,0,233,-2.2
_1418964357_VL_TN1,1418964,_1418964357_VL,0,0,241.6,-12.8
_1419620478_VL_TN1,1419620,_1419620478_VL,0,0,94.3,-13.2
_1419777567_VL_TN1,1419777,_1419777567_VL,-59,-20.1,241.2,-13.7
_1419910448_VL_TN1,1419910,_1419910448_VL,0,0,237.8,-9.2
_1419932120_VL_TN3,1419932,_1419932120_VL,0,0,96,-9.9
_1420168586_VL_TN1,1420168,_1420168586_VL,-0.4,0.1,94.4,-22.5
_1420344764_VL_TN1,1420344,_1420344764_VL,-14.7,-0.5,92.9,-14
_142035789_VL_TN2,1420357,_142035789_VL,0,0,238.8,-7.5
_142035789_VL_TN1,1420357,_142035789_VL,0,0,238.8,-7.5
_1420429771_VL_TN1,1420429,_1420429771_VL,-23.9,-4.6,62.1,-21.3
_1420441343_VL_TN2,1420441,_1420441343_VL,0,0,236.1,-14.2
_1421273892_VL_TN1,1421273,_1421273892_VL,-6.8,2.4,63.5,-12.6
_1421431910_VL_TN1,1421431,_1421431910_VL,-29.2,-3.8,94.2,-12
_1421717140_VL_TN1,1421717,_1421717140_VL,0,0,235.9,-6
_1422162332_VL_TN1,1422162,_1422162332_VL,0,0,402.1,-20.1
_1423410479_VL_TN1,1423410,_1423410479_VL,-9.9,-0.2,64.5,-11.1
_1423637516_VL_TN2,1423637,_1423637516_VL,-5,-1.2,65.4,-4.3
_1423637516_VL_TN1,1423637,_1423637516_VL,0,0.7,65.8,-3.9
_1423672284_VL_TN1,1423672,_1423672284_VL,-0.2,0.3,63.7,-10.2
_1423769118_VL_TN1,1423769,_1423769118_VL,0,0,64.1,-19.2
_1423834030_VL_TN1,1423834,_1423834030_VL,-4,-0.6,61.8,-10.4
_1424071022_VL_TN1,1424071,_1424071022_VL,0,0,64.5,-3.2
_1424207237_VL_TN2,1424207,_1424207237_VL,0,0,226.7,-3
_1424207237_VL_TN1,1424207,_1424207237_VL,0,0,226.5,-3.2
_1424504975_VL_TN1,1424504,_1424504975_VL,-11.6,0.6,65.6,-12.2
_1424907847_VL_TN1,1424907,_1424907847_VL,-5.2,0.2,64,-8
_1425190064_VL_TN1,1425190,_1425190064_VL,-8.3,-4.1,63.5,-12.2
_1425313206_VL_TN1,1425313,_1425313206_VL,-17.5,-4.3,63,-1.7
_1425876024_VL_TN2,1425876,_1425876024_VL,0,0,407.1,-5.9
_1425876024_VL_TN1,1425876,_1425876024_VL,0,0,408.1,-5.2
_1425909541_VL_TN1,1425909,_1425909541_VL,-1.9,-0.3,64.6,-2.6
_1425935621_VL_TN1,1425935,_1425935621_VL,5,1.9,64,-6.4
_1426013883_VL_TN1,1426013,_1426013883_VL,-0.7,1.5,64.7,-12.4
_142610900_VL_TN1,1426109,_142610900_VL,-55.5,-25.8,236.8,-5.9
_142621198_VL_TN1,1426211,_142621198_VL,0.8,-1.5,239.7,-3.8
_1426358051_VL_TN2,1426358,_1426358051_VL,0.1,-0.2,65,-11.8
_1426358051_VL_TN1,1426358,_1426358051_VL,-1.1,-0.6,65.1,-11.7
_1426499825_VL_TN1,1426499,_1426499825_VL,-4.1,-1.4,93.8,-11.4
_1426594820_VL_TN1,1426594,_1426594820_VL,-28,-8.6,63,-22.2
_1426686470_VL_TN1,1426686,_1426686470_VL,-30.9,-1.4,65,-16.1
_1427006714_VL_TN1,1427006,_1427006714_VL,-22.8,80.8,95.8,-26.9
_1427039425_VL_TN2,1427039,_1427039425_VL,0,0,408.4,-3.6
_1427668498_VL_TN1,1427668,_1427668498_VL,0,0,90.1,-13.5
_1427713074_VL_TN1,1427713,_1427713074_VL,-17.6,-1.8,63.8,-19.4
_1427936788_VL_TN1,1427936,_1427936788_VL,-2,-0.4,63.4,0.8
_1428004887_VL_TN2,1428004,_1428004887_VL,-69.9,-22.3,239.5,-10.4
_1428129346_VL_TN1,1428129,_1428129346_VL,-4,-1.2,64.6,-3.1
_1428194943_VL_TN1,1428194,_1428194943_VL,0,0,238.8,-4.4
_1428379934_VL_TN1,1428379,_1428379934_VL,0,0,63.1,-10.2
_1430515488_VL_TN2,1430515,_1430515488_VL,0,0,410.4,-2.3
_1430573500_VL_TN1,1430573,_1430573500_VL,0,0,63.1,-1.7
_1431130220_VL_TN1,1431130,_1431130220_VL,18,0.3,65.1,1.4
_143130991_VL_TN1,1431309,_143130991_VL,0,0,61.3,-23.6
